Division,Sub Division,Feeder,Feeder Code,A/c No,Name,Address,Category,Supply Type,Mobile No,Status,Bill Basis,Total Bill Amount (Rs),Last Paid Date,Last Paid Amount (Rs),Load,Load Unit,Current Assessment (Rs),Bill Date,Current Month Consumption (kWh),Supply Voltage (kV),Connection Type,Meter Status,Meter Exception Reason,Arrear (Rs),Total Outstanding (Rs),LPSC (Rs),Payment Mode
VIKAS NAGAR,SDO-4,200MLD JAL SANSTHAN,51331320050MLD,4684215420,Consumer,Kanpur,LMV-1,100,9344394029,In Service,MU,2157.0,2026-03-10,1725.6,2.2,KW,2157.0,2026-03-01,276,0.230kV,POSTPAID,N,Meter not downloadable,0.0,431.4,0.0,UPI
GOVIND NAGAR,SDO-6,BHAGAT SINGH,51331110001BHA,4686271737,Consumer,Kanpur,LMV-1,10,9529356709,In Service,MU,3776.0,2026-03-10,3020.8,2.2,KW,3776.0,2026-03-01,506,0.230kV,POSTPAID,F,,0.0,755.2,0.0,UPI
VIKAS NAGAR,SDO-2,PARED,51331220048PAR,4683368946,Consumer,Kanpur,LMV-1,100,9526561298,In Service,MU,2396.63,2026-03-10,520.8,3.0,KW,651.0,2026-03-01,82,0.230kV,PREPAID,N,,1745.63,1875.83,174.56,CASH
RAWATPUR,SDO-5,MOTI JHEEL,51331320030MOT,4685008992,Consumer,Kanpur,LMV-1,10,9224320810,In Service,MU,6019.14,2026-03-10,361.0,2.1,KW,361.0,2026-03-01,27,0.230kV,POSTPAID,N,Meter not downloadable,5658.14,-342.25,565.81,CASH
SHUKLAGANJ,SDO-4,ASHOK NAGAR,51331320050ASH,4687525025,Consumer,Kanpur,LMV-1,H21,9686736835,In Service,MU,8493.37,2026-03-10,778.0,1.8,KW,778.0,2026-03-01,77,0.230kV,POSTPAID,F,,7715.37,7715.37,771.54,UPI
GENERALGANJ,SDO-6,IDGAH,51331320049IDG,4686164234,Consumer,Kanpur,LMV-1,10,9800325375,Disconnected,PROV,1839.91,2026-03-10,1195.0,2.0,KW,1195.0,2026-03-01,129,0.230kV,PREPAID,N,On height,644.91,644.91,64.49,UPI
KAKADEO,SDO-1,HALLET HOSPITAL,51331320030HAL,4685157005,Consumer,Kanpur,LMV-1,10,9670750420,In Service,PROV,3746.0,2026-03-10,3746.0,1.2,KW,3746.0,2026-03-01,528,0.230kV,PREPAID,F,On height,0.0,0.0,0.0,UPI
GOVIND NAGAR,SDO-2,BHAGAT SINGH,51331110001BHA,4688690945,Consumer,Kanpur,LMV-1,10,9866060616,In Service,MU,1178.0,2026-03-10,1178.0,1.7,KW,1178.0,2026-03-01,134,0.400kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,UPI
KIDWAI NAGAR,SDO-7,CARWALO NAGAR,51331110026CAR,4688103553,Consumer,Kanpur,LMV-1,100,9275717252,In Service,PROV,1135.0,2026-03-10,1135.0,2.3,KW,1135.0,2026-03-01,121,0.230kV,POSTPAID,N,,0.0,-1090.34,0.0,IPYG
VIKAS NAGAR,SDO-2,PARED,51331220048PAR,4686371667,Consumer,Kanpur,LMV-1,10,9247641647,In Service,MU,880.0,2026-03-10,880.0,3.4,KW,880.0,2026-03-01,89,0.230kV,POSTPAID,N,,0.0,-1486.36,0.0,CARD
GUMTI,SDO-1,ELGIN,51331110001ELG,4688222689,Consumer,Kanpur,LMV-1,100,9404755987,In Service,CEIL,2237.17,2026-03-10,2042.0,2.2,KW,2042.0,2026-03-01,273,0.230kV,POSTPAID,N,Meter not downloadable,195.17,195.17,19.52,UPI
ZARIB CHAUKI,SDO-5,RAWATPUR,51331320030RAW,4684078415,Consumer,Kanpur,LMV-1,10,9393722865,In Service,CEIL,871.0,2026-03-10,0.0,2.1,KW,871.0,2026-03-01,91,0.230kV,POSTPAID,N,,0.0,871.0,0.0,UPI
SHUKLAGANJ,SDO-4,SHIVALA PT,51331420034SHI,4682442206,Consumer,Kanpur,LMV-1,10,9546888981,In Service,PROV,983.0,2026-03-10,0.0,4.2,KW,983.0,2026-03-01,125,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,-266.61,0.0,IPYG
GUMTI,SDO-1,ELGIN,51331110001ELG,4684328731,Consumer,Kanpur,LMV-1,10,9153550807,In Service,ASS,1327.0,2026-03-10,1327.0,1.0,KW,1327.0,2026-03-01,156,0.230kV,PREPAID,N,,0.0,0.0,0.0,CASH
NAWABGANJ,SDO-2,JHAKARKATI BRIDGE,51331110026JHA,4688887183,Consumer,Kanpur,LMV-1,10,9325767279,In Service,CEIL,599.0,2026-03-10,599.0,1.0,KW,599.0,2026-03-01,69,0.400kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
FAZALGANJ,SDO-7,IFTKHARABAD,51331120020IFT,4688455597,Consumer,Kanpur,LMV-1,10,9334909912,Disconnected,MU,798.0,2026-03-10,798.0,3.6,KW,798.0,2026-03-01,78,0.230kV,POSTPAID,F,,0.0,0.0,0.0,CARD
SHUKLAGANJ,SDO-3,SHIVALA PT,51331420034SHI,4688411308,Consumer,Kanpur,LMV-1,10,9581750923,In Service,PROV,711.0,2026-03-10,711.0,35.0,KW,711.0,2026-03-01,60,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,0.0,0.0,UPI
PANKI,SDO-1,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4688794374,Consumer,Kanpur,LMV-1,H21,9956115411,In Service,MU,1065.0,2026-03-10,852.0,2.3,KW,1065.0,2026-03-01,139,0.230kV,POSTPAID,N,On height,0.0,213.0,0.0,IPYG
JAJMAU,SDO-1,PALM COURT,51331320030PAL,4686707370,Consumer,Kanpur,LMV-1,10,9358209278,In Service,CEIL,909.0,2026-03-10,863.55,3.5,KW,909.0,2026-03-01,121,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,45.45,0.0,CASH
KIDWAI NAGAR,SDO-4,CARWALO NAGAR,51331110026CAR,4686865842,Consumer,Kanpur,LMV-1,10,9714676423,In Service,MU,1968.0,2026-03-10,1968.0,1.7,KW,1968.0,2026-03-01,263,0.230kV,PREPAID,F,On height,0.0,0.0,0.0,CARD
GUMTI,SDO-6,ELGIN,51331110001ELG,4685167850,Consumer,Kanpur,LMV-1,100,9433398196,In Service,ASS,1156.35,2026-03-10,1118.0,2.1,KW,1118.0,2026-03-01,150,0.400kV,POSTPAID,N,,38.35,38.35,3.84,CASH
SISAMAU,SDO-4,M-18B BANS MANDI,51331110001MBA,4685843544,Consumer,Kanpur,HV-1,10,9779178605,In Service,PROV,2299.0,2026-03-10,1839.2,3.2,KW,2299.0,2026-03-01,287,0.230kV,POSTPAID,N,Meter not downloadable,0.0,-273.56,0.0,IPYG
JAJMAU,SDO-5,JK CANCER,51331320030JKC,4687099636,Consumer,Kanpur,LMV-2,10,9116591058,In Service,MU,1891.62,2026-03-10,626.4,2.2,KW,783.0,2026-03-01,71,0.400kV,PREPAID,N,Meter not downloadable,1108.62,-327.13,110.86,UPI
RAWATPUR,SDO-8,LAKAR MANDI,51331210045LAK,4681112131,Consumer,Kanpur,LMV-1,10,9736598043,In Service,MU,826.0,2026-03-10,826.0,2.1,KW,826.0,2026-03-01,92,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
FAZALGANJ,SDO-5,DALEL PURWA,51331120020DAL,4682817285,Consumer,Kanpur,LMV-1,10,9656865981,In Service,MU,3808.0,2026-03-10,3808.0,2.4,KW,3808.0,2026-03-01,524,0.230kV,PREPAID,N,,0.0,-1726.54,0.0,CARD
KIDWAI NAGAR,SDO-6,CARWALO NAGAR,51331110026CAR,4682035364,Consumer,Kanpur,LMV-1,10,9515362825,In Service,MU,4681.9,2026-03-10,520.0,4.4,KW,520.0,2026-03-01,66,0.400kV,POSTPAID,N,,4161.9,-2632.25,416.19,CARD
KIDWAI NAGAR,SDO-5,CARWALO NAGAR,51331110026CAR,4685486791,Consumer,Kanpur,LMV-1,10,9188414080,In Service,MU,4316.96,2026-03-10,3063.2,4.6,KVA,3829.0,2026-03-01,516,0.230kV,POSTPAID,F,,487.96,1253.76,48.8,CASH
SISAMAU,SDO-5,M-18B BANS MANDI,51331110001MBA,4688704092,Consumer,Kanpur,LMV-1,10,9691147606,In Service,MU,992.0,2026-03-10,793.6,4.1,KW,992.0,2026-03-01,123,0.230kV,POSTPAID,N,,0.0,-898.24,0.0,CASH
JAJMAU,SDO-4,ELDICO,51331110026ELD,4689768869,Consumer,Kanpur,LMV-1,100,9803001120,In Service,PROV,21654.54,2026-03-10,2107.0,2.8,KW,2107.0,2026-03-01,272,0.230kV,PREPAID,N,,19547.54,19547.54,1954.75,CASH
BARRA,SDO-8,BEEMA CHAURAHA,51333310083BEE,4686288775,Consumer,Kanpur,LMV-1,10,9728169253,In Service,ASS,2327.25,2026-03-10,0.0,7.4,KW,760.0,2026-03-01,99,0.400kV,POSTPAID,F,On height,1567.25,2327.25,156.73,CASH
GENERALGANJ,SDO-5,DY KA PARAV,51331120020DYK,4685757359,Consumer,Kanpur,LMV-1,10,9999776941,Disconnected,ASS,24112.32,2026-03-10,201.5,0.8,KW,403.0,2026-03-01,20,0.230kV,POSTPAID,N,On height,23709.32,23910.82,2370.93,CASH
KIDWAI NAGAR,SDO-8,CARWALO NAGAR,51331110026CAR,4686822677,Consumer,Kanpur,LMV-1,100,9182421297,In Service,MU,1064.0,2026-03-10,851.2,2.0,KW,1064.0,2026-03-01,124,0.230kV,POSTPAID,N,,0.0,-920.24,0.0,CARD
GENERALGANJ,SDO-2,DY KA PARAV,51331120020DYK,4685593079,Consumer,Kanpur,LMV-1,10,9966784350,In Service,MU,720.0,2026-03-10,720.0,3.7,KW,720.0,2026-03-01,65,0.230kV,POSTPAID,N,,0.0,0.0,0.0,UPI
GUMTI,SDO-5,HARSH NAGAR,51331320050HAR,4681221241,Consumer,Kanpur,LMV-1,100,9669098399,In Service,MU,1607.38,2026-03-10,306.0,1.7,KW,612.0,2026-03-01,64,0.230kV,POSTPAID,N,On height,995.38,1301.38,99.54,CASH
JAJMAU,SDO-6,PALM COURT,51331320030PAL,4689969714,Consumer,Kanpur,LMV-2,10,9930136770,In Service,MU,707.26,2026-03-10,690.0,1.9,KW,690.0,2026-03-01,70,0.230kV,POSTPAID,N,,17.26,17.26,1.73,CASH
KIDWAI NAGAR,SDO-1,CARWALO NAGAR,51331110026CAR,4686626308,Consumer,Kanpur,LMV-1,10,9793007573,Disconnected,MU,8960.38,2026-03-10,996.0,2.2,KW,996.0,2026-03-01,129,0.230kV,POSTPAID,F,,7964.38,7964.38,796.44,UPI
BARRA,SDO-3,BEEMA CHAURAHA,51333310083BEE,4681746036,Consumer,Kanpur,LMV-1,10,9807762229,In Service,MU,2590.3,2026-03-10,752.0,1.6,KW,752.0,2026-03-01,83,0.230kV,PREPAID,N,On height,1838.3,1838.3,183.83,IPYG
SHUKLAGANJ,SDO-3,ASHOK NAGAR,51331320050ASH,4684180711,Consumer,Kanpur,LMV-1,10,9174543733,In Service,CEIL,2143.0,2026-03-10,2143.0,3.3,KW,2143.0,2026-03-01,287,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CARD
NAWABGANJ,SDO-1,SUTER GANJ,51331230046SUT,4683728066,Consumer,Kanpur,LMV-1,100,9499243556,In Service,MU,2073.0,2026-03-10,2073.0,2.3,KW,2073.0,2026-03-01,277,0.230kV,POSTPAID,N,,0.0,-2192.83,0.0,IPYG
NAWABGANJ,SDO-4,SUTER GANJ,51331230046SUT,4687714743,Consumer,Kanpur,LMV-1,10,9835509911,In Service,MU,637.0,2026-03-10,637.0,2.6,KW,637.0,2026-03-01,60,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
KAKADEO,SDO-1,DADA MIYAN,51331210047DAD,4683052945,Consumer,Kanpur,LMV-1,10,9485938393,In Service,MU,1285.83,2026-03-10,1155.0,1.8,KW,1155.0,2026-03-01,134,0.230kV,PREPAID,N,On height,130.83,130.83,13.08,IPYG
HARBANSH MOHAL,SDO-4,CHANDRIKA DEVI,51331120033CHA,4683445384,Consumer,Kanpur,LMV-1,10,9313835087,In Service,MU,6460.23,2026-03-10,0.0,2.0,KW,626.0,2026-03-01,67,0.230kV,PREPAID,N,On height,5834.23,6460.23,583.42,UPI
FAZALGANJ,SDO-6,DKP-68,51331120033DKP,4687485517,Consumer,Kanpur,LMV-1,H21,9754323186,Disconnected,PROV,2111.15,2026-03-10,1978.0,1.8,KW,1978.0,2026-03-01,260,0.230kV,PREPAID,N,Meter not downloadable,133.15,133.15,13.32,CARD
HARBANSH MOHAL,SDO-2,LAL KUAN,51331210047LAL,4685951502,Consumer,Kanpur,LMV-2,10,9876855351,In Service,MU,3677.0,2026-03-10,1838.5,2.2,KW,3677.0,2026-03-01,507,0.400kV,POSTPAID,N,,0.0,-1243.69,0.0,CARD
KIDWAI NAGAR,SDO-3,MAQBARA,51331230046MAQ,4684168974,Consumer,Kanpur,LMV-1,10,9147317464,In Service,PROV,802.0,2026-03-10,761.9,1.2,KW,802.0,2026-03-01,73,0.400kV,POSTPAID,N,,0.0,40.1,0.0,UPI
HARBANSH MOHAL,SDO-3,LAL KUAN,51331210047LAL,4683068211,Consumer,Kanpur,LMV-1,10,9906034584,In Service,ASS,700.0,2026-03-10,700.0,2.9,KW,700.0,2026-03-01,77,0.230kV,POSTPAID,N,Meter not downloadable,0.0,-648.53,0.0,CARD
FAZALGANJ,SDO-4,DKP-68,51331120033DKP,4686989945,Consumer,Kanpur,LMV-1,10,9124069844,In Service,CEIL,747.0,2026-03-10,747.0,2.4,KW,747.0,2026-03-01,99,0.230kV,PREPAID,N,,0.0,0.0,0.0,CARD
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4683175222,Consumer,Kanpur,LMV-1,H21,9289423154,In Service,MU,231.0,2026-03-10,231.0,2.3,KW,231.0,2026-03-01,20,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,IPYG
KIDWAI NAGAR,SDO-5,CARWALO NAGAR,51331110026CAR,4688198797,Consumer,Kanpur,LMV-1,10,9626764546,In Service,MU,917.0,2026-03-10,458.5,0.9,KW,917.0,2026-03-01,123,0.230kV,POSTPAID,N,,0.0,-195.88,0.0,CARD
RAWATPUR,SDO-8,MOTI JHEEL,51331320030MOT,4689051857,Consumer,Kanpur,LMV-1,101,9306467678,In Service,PROV,1163.0,2026-03-10,1163.0,2.2,KW,1163.0,2026-03-01,125,0.230kV,POSTPAID,F,Meter not downloadable,0.0,-1801.43,0.0,CARD
BARRA,SDO-7,GREEN PARK,51331310039GRE,4681823427,Consumer,Kanpur,LMV-1,10,9468175706,In Service,MU,1986.0,2026-03-10,1986.0,7.1,KW,1986.0,2026-03-01,255,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
PANKI,SDO-1,TAR GHAR,51331430038TAR,4686948895,Consumer,Kanpur,LMV-1,10,9373233494,In Service,MU,8435.06,2026-03-10,475.2,3.3,KW,594.0,2026-03-01,72,0.230kV,PREPAID,N,,7841.06,7959.86,784.11,CASH
FAZALGANJ,SDO-3,IFTKHARABAD,51331120020IFT,4684763565,Consumer,Kanpur,LMV-1,10,9354835038,In Service,MU,1600.95,2026-03-10,739.0,2.0,KW,739.0,2026-03-01,74,0.230kV,POSTPAID,N,Port Dirty/Faulty,861.95,-576.58,86.2,UPI
GOVIND NAGAR,SDO-4,BHAGAT SINGH,51331110001BHA,4686739664,Consumer,Kanpur,LMV-1,100,9283897974,In Service,MU,7125.18,2026-03-10,484.0,1.7,KW,484.0,2026-03-01,28,0.230kV,PREPAID,N,On height,6641.18,6641.18,664.12,CASH
NAWABGANJ,SDO-1,BEGAM PURWA,51333410058BEG,4681410410,Consumer,Kanpur,LMV-1,10,9131896618,In Service,MU,675.0,2026-03-10,675.0,1.1,KW,675.0,2026-03-01,73,0.230kV,PREPAID,N,Meter not downloadable,0.0,-2246.67,0.0,UPI
DADA NAGAR,SDO-7,VISHNU PURI,51331310042VIS,4682193545,Consumer,Kanpur,LMV-1,10,9224657653,In Service,CEIL,1924.0,2026-03-10,962.0,2.0,KW,1924.0,2026-03-01,252,0.400kV,POSTPAID,F,On height,0.0,962.0,0.0,CASH
ZARIB CHAUKI,SDO-6,ROOPAM,51331230046ROO,4689192109,Consumer,Kanpur,LMV-1,100,9345587931,In Service,MU,781.0,2026-03-10,624.8,8.1,KVA,781.0,2026-03-01,98,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,156.2,0.0,UPI
ZARIB CHAUKI,SDO-4,ROOPAM,51331230046ROO,4686912185,Consumer,Kanpur,LMV-1,10,9191951605,In Service,MU,741.0,2026-03-10,741.0,0.9,KW,741.0,2026-03-01,77,0.230kV,POSTPAID,N,,0.0,-880.99,0.0,UPI
DADA NAGAR,SDO-7,KHALASI LINE,51331320049KHA,4684540346,Consumer,Kanpur,LMV-1,10,9610817516,In Service,MU,2507.52,2026-03-10,2042.0,2.4,KW,2042.0,2026-03-01,255,0.230kV,PREPAID,N,On height,465.52,-107.46,46.55,IPYG
FAZALGANJ,SDO-7,DALEL PURWA,51331120020DAL,4683038036,Consumer,Kanpur,LMV-1,101,9811962009,In Service,MU,1888.43,2026-03-10,1195.0,2.2,KW,1195.0,2026-03-01,145,0.230kV,PREPAID,N,,693.43,693.43,69.34,CASH
